Steps = 11, Explorations = 2, Exploitations = 8, Epsilon rate = 0.5284076956213596, Episode = 210
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.5277211776239678, Episode = 211
Steps = 14, Explorations = 7, Exploitations = 6, Epsilon rate = 0.5270355515646847, Episode = 212
Steps = 16, Explorations = 8, Exploitations = 7, Epsilon rate = 0.5262455513849379, Episode = 213
Steps = 16, Explorations = 9, Exploitations = 6, Epsilon rate = 0.5254567353763195, Episode = 214
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.5246691017638162, Episode = 215
Steps = 19, Explorations = 10, Exploitations = 8, Epsilon rate = 0.5237254996963978, Episode = 216
Steps = 25, Explorations = 13, Exploitations = 11, Epsilon rate = 0.5224700029200415, Episode = 217
Steps = 37, Explorations = 22, Exploitations = 14, Epsilon rate = 0.5205923987431876, Episode = 218
Steps = 17, Explorations = 10, Exploitations = 6, Epsilon rate = 0.5197600753246402, Episode = 219
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.5189809807233123, Episode = 220
Steps = 14, Explorations = 5, Exploitations = 8, Epsilon rate = 0.5183067101051456, Episode = 221
Steps = 20, Explorations = 10, Exploitations = 9, Epsilon rate = 0.5173228131583818, Episode = 222
Steps = 13, Explorations = 3, Exploitations = 9, Epsilon rate = 0.516702367101863, Episode = 223
Steps = 22, Explorations = 15, Exploitations = 6, Epsilon rate = 0.5156183765190152, Episode = 224
Steps = 30, Explorations = 17, Exploitations = 12, Epsilon rate = 0.5141251747548731, Episode = 225
Steps = 30, Explorations = 22, Exploitations = 7, Epsilon rate = 0.5126362972189006, Episode = 226
Steps = 15, Explorations = 5, Exploitations = 9, Epsilon rate = 0.5119190727152764, Episode = 227
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.5113051075820092, Episode = 228
Steps = 15, Explorations = 7, Exploitations = 7, Epsilon rate = 0.5105897455329785, Episode = 229
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.5098243968016634, Episode = 230
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.5092129438974671, Episode = 231
Steps = 14, Explorations = 3, Exploitations = 10, Epsilon rate = 0.5085513641108983, Episode = 232
Steps = 25, Explorations = 16, Exploitations = 8, Epsilon rate = 0.5073322434100291, Episode = 233
Steps = 15, Explorations = 7, Exploitations = 7, Epsilon rate = 0.5066224397569786, Episode = 234
Steps = 37, Explorations = 22, Exploitations = 14, Epsilon rate = 0.5048017870809225, Episode = 235
Steps = 19, Explorations = 8, Exploitations = 10, Epsilon rate = 0.5038939157991471, Episode = 236
Steps = 21, Explorations = 10, Exploitations = 10, Epsilon rate = 0.502887084791794, Episode = 237
Steps = 22, Explorations = 15, Exploitations = 6, Epsilon rate = 0.5018320773080703, Episode = 238
Steps = 19, Explorations = 13, Exploitations = 5, Epsilon rate = 0.5009295469626529, Episode = 239
Steps = 29, Explorations = 17, Exploitations = 11, Epsilon rate = 0.4995288361048253, Episode = 240
Steps = 15, Explorations = 7, Exploitations = 7, Epsilon rate = 0.498829950123741, Episode = 241
Steps = 17, Explorations = 10, Exploitations = 6, Epsilon rate = 0.4980324205202292, Episode = 242
Steps = 21, Explorations = 12, Exploitations = 8, Epsilon rate = 0.4970373013732723, Episode = 243
Steps = 9, Explorations = 3, Exploitations = 5, Epsilon rate = 0.4966398106747875, Episode = 244
Steps = 16, Explorations = 8, Exploitations = 7, Epsilon rate = 0.4958953722046733, Episode = 245
Steps = 11, Explorations = 4, Exploitations = 6, Epsilon rate = 0.4953996999258891, Episode = 246
Steps = 21, Explorations = 12, Exploitations = 8, Epsilon rate = 0.49440984122095166, Episode = 247
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.49381687561323606, Episode = 248
